Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"17 - 350 FISHER MILLS ROAD, Cambridge, ON",Condo,499000,N/A,3200,2,2
"7 - 601 COLUMBIA FOREST BOULEVARD, Waterloo, ON",Condo,599000,N/A,3436 (2024),4,3
"149 WOOLWICH Street, Waterloo, ON",Single Family,1680000,N/A,N/A,5,5
"51 SOUTHMOOR DRIVE, Kitchener, ON",Single Family,799900,N/A,3780 (2024),4,2
"358 WATERLOO Avenue Unit# 708, Guelph, ON",Condo,399900,1166,N/A,3,2
"67 BRECKENRIDGE Drive Unit# 308, Kitchener, ON",Condo,386900,643,N/A,1,1
"36 NORFOLK AVENUE, Cambridge, ON",Single Family,520000,N/A,2486,3,1
"546 GREENBROOK Drive, Kitchener, ON",Single Family,874900,N/A,4622,3,2
"545 BALSAM POPLAR Street, Waterloo, ON",Single Family,1265900,2747,N/A,4,3
"728 COUNTRY SQUIRE Road, Waterloo, ON",Single Family,1899900,4390,7506,4,4
"125 SEKURA Crescent Unit# 36, Cambridge, ON",Condo,599000,1495,N/A,3,2
"159 TIMBER TRAIL Road, Elmira, ON",Single Family,1250000,3169,N/A,5,4
"150 BREWERY Street, Baden, ON",Vacant Land,397500,N/A,N/A,N/A,0
"246 LESTER Street Unit# 803, Waterloo, ON",Condo,489000,571,N/A,2,2
"41 - 253 CHAPEL HILL DRIVE, Kitchener, ON",Condo,624999,N/A,N/A,3,3
"7706 SPEEDVALE Avenue E, Guelph/Eramosa, ON",Single Family,1899000,3737,N/A,4,3
"2143 BLEAMS Road, Wilmot Township, ON",Single Family,2795000,6342,3999,5,6
"621 WILD RYE Street, Waterloo, ON",Single Family,1135000,2151,N/A,3,3
"24 MIDLAND Drive Unit# 303, Kitchener, ON",Single Family,435000,1371,N/A,3,2
"59 LAVENDER Road, Cambridge, ON",Single Family,900000,2076,6300,4,3
"144 PARK Street Unit# 1701, Waterloo, ON",Condo,899900,1387,N/A,3,2
"6 CRANBERRY Court, Guelph, ON",Single Family,1199999,2200,7194,4,3
"17 BENNINGER Drive Unit# B009, Kitchener, ON",Condo,756696,2018,N/A,3,4
"35 FREURE DRIVE, Cambridge, ON",Single Family,999000,N/A,N/A,4,3
"140 WINDFLOWER DRIVE, Kitchener, ON",Single Family,825000,N/A,3854,5,4
"134 BAYNE Crescent, Cambridge, ON",Single Family,979999,2926,5739,5,4
"443 HEARTHWOOD DRIVE, Kitchener, ON",Single Family,1259000,N/A,5697,6,4
"39 BROADACRE Drive, Kitchener, ON",Single Family,1399000,3639,N/A,6,5
"50 - 99 ROGER STREET, Waterloo, ON",Condo,599999,N/A,N/A,3,3
"245 CAMELOT Court Unit# 1, Waterloo, ON",Single Family,599900,1264,N/A,3,2
"61 BROADACRE Drive, Kitchener, ON",Single Family,1399000,2950,7450,4,4
"83 DUNNIGAN Drive, Kitchener, ON",Single Family,1364900,2620,N/A,4,4
"LOT 8 WESLEY Boulevard, Cambridge, ON",Single Family,999990,1900,N/A,4,3
"87 DUNNIGAN Drive, Kitchener, ON",Single Family,1179900,2065,N/A,4,4
"245 GREY SILO Road Unit# 302, Waterloo, ON",Condo,664900,1100,N/A,2,2
"1284 GORDON STREET Unit# 215, Guelph, ON",Condo,549000,818,N/A,2,2
"207 - 88 GIBSON STREET, North Dumfries, ON",Condo,499900,N/A,N/A,1,1
"2205 - 55 DUKE STREET, Kitchener, ON",Condo,439000,N/A,2200,1,1
"316 BISMARK DRIVE, Cambridge, ON",Single Family,889000,N/A,N/A,3,3
"62 DORSET Street, Waterloo, ON",MultiFamily,1499999,3288,N/A,15,6
"482 WOODBINE AVENUE, Kitchener, ON",Single Family,999999,N/A,5042,4,4
"152 VICTORIA Road N, Guelph, ON",Single Family,649000,1485,3500,4,2
"188 OTTERBEIN ROAD, Kitchener, ON",Single Family,1499000,N/A,N/A,4,4
"675 VICTORIA Road N Unit# 12, Guelph, ON",Condo,849000,1510,N/A,3,3
"8 PADDISON COURT, Guelph (Village), ON",Single Family,2199900,N/A,N/A,5,6
"255 KEATS Way Unit# 1206, Waterloo, ON",Condo,649000,N/A,4237,2,2
"210 RICKSON Avenue, Guelph, ON",Single Family,819000,2063,4560,3,3
"4426 WILMOT EASTHOPE Road, New Hamburg, ON",Single Family,2699999,N/A,N/A,5,4
"247 NORTHFIELD Drive E Unit# 215, Waterloo, ON",Condo,435000,644,2838,1,1
"137 WAKE ROBIN Drive, Kitchener, ON",Single Family,728888,N/A,N/A,4,2
"302 - 101 GOLDEN EAGLE ROAD, Waterloo, ON",Condo,1,N/A,N/A,1,1
"714 WILLOW Road Unit# 3, Guelph, ON",Condo/Townhome,899900,2600,4832,4,4
"29 BLUE OAK STREET, Kitchener, ON",Single Family,849990,N/A,N/A,3,3
"1825 VICTORIA Road S, Guelph, ON",Single Family,1699900,1889,N/A,3,2
"89 HEARTHWOOD Crescent, Kitchener, ON",Single Family,949700,2849,5804,4,2
"617 ROSEBRIAR Court, Waterloo, ON",Single Family,1550000,3023,N/A,5,4
"1442 PINEVIEW Court, Cambridge, ON",Single Family,647500,1601,N/A,3,2
"122 COURTLAND Avenue E Unit# 4, Kitchener, ON",Condo/Townhome,529000,1080,2877,2,2
"906 - 1880 GORDON STREET, Guelph (Guelph South), ON",Condo,585000,N/A,N/A,1,1
"1104 - 318 SPRUCE STREET, Waterloo, ON",Condo,395000,N/A,2830,1,1
"8 MUNROE Crescent, Guelph, ON",Single Family,1139900,N/A,5648,4,4
"8 MUNROE Crescent, Guelph, ON",MultiFamily,1139900,N/A,5648,4,4
"1310 - 15 GLEBE STREET, Cambridge, ON",Condo,569000,N/A,N/A,2,2
"1878 GORDON Street Unit# 709, Guelph, ON",Condo,594900,894,N/A,1,1
"403 - 71 WYNDHAM STREET S, Guelph (Two Rivers), ON",Condo,839999,N/A,N/A,2,2
"101 OLD COUNTRY Drive, Kitchener, ON",Single Family,889000,2247,4416,4,3
"94 WOODSTOCK Street N, Tavistock, ON",Single Family,715000,N/A,N/A,3,2
"15 CORNELL AVENUE, Kitchener, ON",Single Family,699000,N/A,N/A,4,3
"498 THOMAS SLEE DRIVE, Kitchener, ON",Single Family,999000,N/A,6509,8,5
"33 RIDGEWAY AVENUE, Guelph (Pine Ridge), ON",Single Family,1200000,N/A,N/A,3,1
"104 SOUTH PARKWOOD BOULEVARD, Woolwich, ON",Single Family,969900,N/A,N/A,4,3
"132 MERNER Avenue, Kitchener, ON",MultiFamily,1049900,2867,N/A,5,3
"40 JOHN Street, Cambridge, ON",MultiFamily,1049900,4361,N/A,8,4
"167 SIMS ESTATE Drive, Kitchener, ON",Single Family,699000,1550,N/A,3,3
"73 TIMBER TRAIL ROAD, Woolwich, ON",Single Family,1195000,N/A,N/A,4,3
"929 - 145 COLUMBIA STREET W, Waterloo, ON",Condo,530000,N/A,N/A,2,1
"920 RIVER RIDGE Court, Kitchener, ON",Single Family,1789900,4361,N/A,5,5
"R11 PONY WAY, Kitchener, ON",Single Family,30000,N/A,N/A,N/A,0
"255 NORTHFIELD Drive E Unit# 414, Waterloo, ON",Condo,475000,821,N/A,2,2
"1480 ROSEVILLE Road, Cambridge, ON",Single Family,1150000,1656,N/A,3,2
"2 PIONEER GROVE Road, Puslinch, ON",Single Family,1999900,N/A,N/A,4,3
"2214 - 60 FREDRICK STREET, Kitchener, ON",Condo,454900,N/A,3498,2,2
"59 MAYWOOD ROAD, Kitchener, ON",Single Family,779000,N/A,3830,3,2
"397 RIVER Road, Cambridge, ON",Single Family,1149900,1614,N/A,2,2
"160 MACDONELL Street Unit# 1, Guelph, ON",Condo,1299999,3073,N/A,N/A,0
"8-12 ONWARD Avenue, Kitchener, ON",Vacant Land,1349000,N/A,7917,N/A,0
"138 COLE Road, Guelph, ON",Single Family,699999,N/A,N/A,3,1
"50 HOLLY Trail, Puslinch, ON",Single Family,799900,932,N/A,2,1
"261 WOODBINE Avenue Unit# 59, Kitchener, ON",Condo,569999,1095,N/A,3,2
"52 WATT STREET, Guelph (Grange Hill East), ON",Single Family,899990,N/A,N/A,3,3
"1438 GREENFIELD Road, Cambridge, ON",Single Family,3795000,N/A,11670,6,4
"188 WATERLOO Street, Kitchener, ON",Vacant Land,849900,N/A,N/A,N/A,0
"128 HOMESTEAD PLACE, Kitchener, ON",Single Family,749900,N/A,N/A,3,2
"718 ROCKWAY Drive, Kitchener, ON",Single Family,1499900,N/A,N/A,5,4
"155 SAMUELSON STREET, Cambridge, ON",Single Family,648800,N/A,3491 (2024),3,3
"180 MARKSAM Road Unit# 9, Guelph, ON",Condo/Townhome,649900,1175,N/A,3,2
"1304 - 15 GLEBE STREET, Cambridge, ON",Condo,515000,N/A,1580,1,1
"308 LESTER Street Unit# 620, Waterloo, ON",Condo,409000,N/A,N/A,1,1
"358 WATERLOO Avenue Unit# 1101, Guelph, ON",Condo,479888,1166,N/A,3,2
"106 SOUTH PARKWOOD Boulevard, Elmira, ON",Single Family,969900,2450,N/A,2,3
"30 REID COURT, Guelph (Kortright Hills), ON",Single Family,848000,N/A,N/A,4,3
"10 BROMBAL DRIVE, Guelph (Hanlon Creek), ON",Single Family,869900,N/A,N/A,3,2
"824 WOOLWICH Street Unit# B126, Guelph, ON",Condo,599990,1106,N/A,2,2
"A12 - 1941 OTTAWA STREET S, Kitchener, ON",Condo/Townhome,449900,N/A,2096,1,1
"1941 OTTAWA Street S Unit# 12A, Kitchener, ON",Condo/Townhome,449900,755,2096,1,1
"188 ALMA Street N, Guelph, ON",Single Family,731900,1790,3788,3,2
"2103 - 318 SPRUCE STREET, Waterloo, ON",Condo,569900,N/A,N/A,3,2
"99 WANNAMAKER CRESCENT, Cambridge, ON",Single Family,1050000,N/A,7414,4,4
"34 DOOLEY Drive, Kitchener, ON",MultiFamily,799000,N/A,N/A,5,4
"310 NORTHUMBERLAND Street, Ayr, ON",Single Family,1199000,2398,5470,3,2
"H505 - 275 LARCH STREET, Waterloo, ON",Condo,498888,N/A,N/A,2,2
"174 PARKVALE DRIVE, Kitchener, ON",Single Family,899000,N/A,4557,3,3
"56 LOWES Road, Guelph, ON",Single Family,1775000,2657,N/A,3,3
"10 BIRMINGHAM Drive Unit# 67, Cambridge, ON",Single Family,699000,1550,1,4,3
"192 BREWERY Street Unit# 2, Baden, ON",Condo,689000,N/A,3120,3,3
"188 WATERLOO Street, Kitchener, ON",Single Family,849900,1150,N/A,3,1
"192 SEVERN Drive, Guelph, ON",Single Family,864900,2394,N/A,3,3
"302 COLLEGE Avenue Unit# 199, Guelph, ON",Condo/Townhome,749000,1245,N/A,4,3
"38 WILKINSON AVENUE, Cambridge, ON",Single Family,759900,N/A,4814 (2024),3,3
"19 CEDAR STREET, Cambridge, ON",Single Family,555000,N/A,N/A,2,1
"121 LOVETT LANE, Guelph, ON",Single Family,1699000,4102,7264,4,4
"251 NORTHFIELD DRIVE EAST Unit# 420, Waterloo, ON",Condo,519900,842,N/A,3,2
"B120 - 824 WOOLWICH STREET, Guelph (Northwest Industrial Park), ON",Condo,554990,N/A,N/A,2,2
"305 - 145 COLUMBIA STREET W, Waterloo, ON",Condo,469900,N/A,N/A,2,1
"1878 GORDON STREET Unit# 1402, Guelph, ON",Condo,1649900,2317,8274,3,3
"44 LEMONWOOD PLACE, Cambridge, ON",Single Family,1249900,N/A,7200,4,4
"216 LAW DRIVE, Guelph (Grange Hill East), ON",Condo,691000,N/A,3761,3,3
"406 - 944 CALEDONIAN VIEW, Cambridge, ON",Condo,424900,N/A,2150,2,1
"824 WOOLWICH Street Unit# B120, Guelph, ON",Condo,554990,993,N/A,2,2
"314 - 257 HEMLOCK STREET W, Waterloo, ON",Condo,465000,N/A,3228,2,1
"725 - 145 COLUMBIA STREET, Waterloo, ON",Condo,500000,N/A,N/A,2,1
"144 PARK Street Unit# 605, Waterloo, ON",Condo,629900,1126,4963,3,2
"104 GARMENT STREET Street Unit# 1009, Kitchener, ON",Condo,545000,933,N/A,2,2
"2 UNIVERSITY Avenue E, Elmira, ON",Single Family,675000,1003,3041,2,1
"15 WESTBROOK Place, Cambridge, ON",Single Family,1275000,3281,N/A,5,4
"228 ROSEBANK Place, Kitchener, ON",Single Family,714900,1836,N/A,3,2
"106 - 288 ALBERT STREET, Waterloo, ON",Condo,600000,N/A,4167,4,3
"231 ALMA STREET N, Guelph (Onward Willow), ON",Single Family,739000,N/A,N/A,4,1
"114 ERB Street W, Waterloo, ON",MultiFamily,899000,2727,N/A,8,3
"110-116 ERB Street W, Waterloo, ON",Vacant Land,1798000,N/A,N/A,N/A,0
"30 FLAMINGO Drive Unit# 45D, Elmira, ON",Condo/Townhome,439000,1054,N/A,2,2
"32 CHISHOLM Street, Cambridge, ON",Single Family,699900,1464,N/A,3,2
"502 - 246 LESTER STREET, Waterloo, ON",Condo,599000,N/A,N/A,2,2
"613 GLEN FORREST Boulevard, Waterloo, ON",Single Family,749900,1913,N/A,3,2
"302 - 29 WEST AVENUE W, Kitchener, ON",Condo,438000,N/A,1540,3,2
"104 VALLEY RIDGE Crescent, Waterloo, ON",Single Family,999999,2984,N/A,4,4
"14 HARTFIELD Drive, Guelph/Eramosa, ON",Single Family,999900,2405,N/A,3,1
"187 MILSON Crescent, Guelph, ON",Single Family,1199000,3281,N/A,4,3
"2 - 100 HOLLYWOOD COURT, Cambridge, ON",Single Family,825000,N/A,4786 (2024),4,4
"412 - 2 COLONIAL DRIVE, Guelph (Pine Ridge), ON",Condo,519000,N/A,N/A,2,1
"383 BURNETT AVENUE, Cambridge, ON",Single Family,1049000,N/A,4750,6,3
"27 BEATTIE CRESCENT, Cambridge, ON",Single Family,959999,N/A,N/A,3,3
"321 SPRUCE Street S Unit# 207, Waterloo, ON",Condo,339900,601,N/A,2,1
"10 BLAIN Avenue, Cambridge, ON",MultiFamily,1189000,3047,N/A,5,4
"205 ST ANDREWS Street, Cambridge, ON",Single Family,550000,1172,N/A,2,2
"332 QUEEN Street W, Cambridge, ON",MultiFamily,799900,1941,N/A,4,2
"332 QUEEN Street W, Cambridge, ON",Single Family,799900,1941,N/A,4,2
"332 QUEEN Street W, Cambridge, ON",Vacant Land,799900,N/A,N/A,N/A,0
"9 LANSDOWNE Road S, Cambridge, ON",Single Family,1649000,N/A,N/A,4,3
"292 SHADY GLEN CRESCENT, Kitchener, ON",Single Family,1399999,N/A,6180,5,4
"2B - 38 HOWE DRIVE, Kitchener, ON",Condo,399900,N/A,N/A,1,1
"440 SHANTZ HILL ROAD, Cambridge, ON",Single Family,999900,N/A,N/A,6,3
"67 VALLEYVIEW Road Unit# 56, Kitchener, ON",Condo,369000,823,1616,2,1
"123 - 25 CONCESSION STREET, Cambridge, ON",Condo,679900,N/A,N/A,2,2
"2406 - 330 PHILLIP STREET, Waterloo, ON",Condo,549900,N/A,N/A,2,1
"18 PARKWOOD Drive, Cambridge, ON",Vacant Land,550000,N/A,N/A,N/A,0
"256 ELLIOTT Street, Cambridge, ON",MultiFamily,1299000,2500,N/A,8,4
"285 BORDEN AVENUE, Kitchener, ON",Single Family,699999,N/A,N/A,4,3
"30 KESTREL Street, Kitchener, ON",Single Family,1999999,N/A,N/A,5,5
"1897 CONCESSION 8 ROAD W, Hamilton, ON",Single Family,2049900,N/A,9372,5,4
"612 - 5 WELLINGTON STREET S, Kitchener, ON",Condo,565000,N/A,3079,2,2
"11C - 388 OLD HURON ROAD, Kitchener, ON",Condo/Townhome,590000,N/A,N/A,3,2
"39 GERBER MEADOWS DRIVE, Wellesley, ON",Single Family,1150000,N/A,N/A,3,3
"127 MILL Street, Kitchener, ON",Single Family,750000,N/A,N/A,4,2
"587 MANORWOOD Court, Waterloo, ON",Single Family,2725000,N/A,N/A,5,5
"170 WATERLOO Avenue, Guelph, ON",Single Family,649900,1312,N/A,3,1
"23 SANTO COURT N, Woolwich, ON",Single Family,1049000,N/A,4348 (2023),4,3
"G-105 - 275 LARCH STREET, Waterloo, ON",Condo,524900,N/A,2629 (2023),2,2
"80 STARR Crescent, Cambridge, ON",Single Family,2599000,3836,16634,4,5
"237 KING Street W Unit# 611, Cambridge, ON",Condo,469900,1115,2820,2,2
"51 - 166 DEERPATH DRIVE, Guelph (West Willow Woods), ON",Single Family,775000,N/A,4552,3,3
"56 KEATING Street, Guelph, ON",Single Family,1074999,1614,5280,3,3
"586 EASTGATE Walk, Waterloo, ON",Single Family,2600000,4875,N/A,4,5
"10 WOOLWICH Street, Kitchener, ON",Vacant Land,1100000,N/A,N/A,N/A,0
"115 BAILEY DRIVE, Cambridge, ON",Single Family,830000,N/A,N/A,3,3
"31 SCHRODER Crescent Unit# 40, Guelph, ON",Condo,675000,1829,3919,3,3
"18 VALLEYBROOK Drive, Kitchener, ON",Single Family,1299900,3263,N/A,5,4
"462 HAZEL STREET, Waterloo, ON",Vacant Land,459999,N/A,N/A,N/A,0
"55 FRESHMEADOW WAY, Guelph (West Willow Woods), ON",Single Family,1099000,N/A,N/A,5,3
"35 ALEXANDRA Avenue Unit# 105, Waterloo, ON",Condo,690000,1250,4925,2,2
"246 PARK LAWN Place, Waterloo, ON",Single Family,1399900,2769,N/A,4,3
"85 SPRUCE Street Unit# 201, Cambridge, ON",Condo,449900,870,2469,1,1
"2 STONEHILL Avenue E, Kitchener, ON",Single Family,949000,N/A,N/A,3,4
"105 PINNACLE Drive Unit# 22, Kitchener, ON",Condo/Townhome,659900,1480,3308,2,2
"275 LARCH Street Unit# B404, Waterloo, ON",Condo,469900,491,N/A,2,1
"309-311 HAWTHORN Street, Waterloo, ON",MultiFamily,3999000,2544,N/A,13,4
"5 WOODFORD DRIVE, Cambridge, ON",Single Family,799000,N/A,N/A,3,2
"65 EDGEHILL Drive, Kitchener, ON",Single Family,1598000,2038,N/A,3,3
"25 BEVERLY Street, Cambridge, ON",Single Family,535000,1068,2470,3,1
"18 WINDERMERE Court, Kitchener, ON",Single Family,999800,2655,N/A,6,3
"121 UNIVERSITY Avenue E Unit# 91, Waterloo, ON",Condo,445000,1500,N/A,3,3
"578 GUELPH Street, Kitchener, ON",MultiFamily,499900,2420,N/A,6,6
"255 SUMMERFIELD Drive Unit# 18, Guelph, ON",Condo,949900,N/A,N/A,4,3
"578 GUELPH Street, Kitchener, ON",Vacant Land,499900,N/A,N/A,N/A,0
"1302 - 60 FREDERICK STREET, Kitchener, ON",Condo,499999,N/A,3200,2,2
"18 GELLERT DR, Breslau, ON",Single Family,1049900,2471,N/A,4,3
"40 ALBERT Street, Cambridge, ON",Single Family,749900,1637,N/A,3,2
"38 ALBERT Street, Cambridge, ON",Single Family,759900,1637,N/A,3,2
"52 - 105 BARD BOULEVARD, Guelph (Pine Ridge), ON",Condo,775000,N/A,N/A,3,3
"160 KEMP CRESCENT E, Guelph (Grange Hill East), ON",Single Family,945000,N/A,5224,4,4
"46 PAIGE Street, Kitchener, ON",Single Family,2295000,6407,N/A,7,6
"310 FALLOWFIELD DRIVE, Kitchener, ON",Condo/Townhome,669998,N/A,N/A,3,3
"145 ARTHUR STREET N, Guelph (Central East), ON",Single Family,899900,N/A,N/A,6,2
"69 GLEN PARK Crescent, Kitchener, ON",MultiFamily,874900,2375,N/A,5,2
"37 ELMWOOD Avenue, Cambridge, ON",Single Family,549900,1623,3302,3,2
"625 - 308 LESTER STREET, Waterloo, ON",Condo,365000,N/A,N/A,1,1
"388 OLD HURON Road Unit# 24D, Kitchener, ON",Condo,424900,753,2622,1,1
"20 WILKIE CRESCENT, Guelph (Pine Ridge), ON",Single Family,969000,N/A,N/A,4,4
"3273 SANDHILLS Road, Baden, ON",Single Family,2790000,4366,11572,4,4
"160 REDTAIL Street, Kitchener, ON",Single Family,1825000,4568,N/A,3,4
"280 LESTER Street Unit# 115, Waterloo, ON",Condo,695000,1550,11924,N/A,0
"10 HOME STREET, Guelph (Exhibition Park), ON",Single Family,1200000,N/A,N/A,7,3
"19 ATTWOOD DRIVE, Cambridge, ON",Single Family,849900,N/A,N/A,3,3
"43 BROADACRE DR Drive, Kitchener, ON",Single Family,1428888,2933,6885,4,4
"910 - 15 GLEBE STREET N, Cambridge, ON",Condo,499000,N/A,N/A,2,2
"96 MONTANA Crescent, Kitchener, ON",Single Family,889000,2368,3697,3,3
"102 - 269 SUNVIEW STREET, Waterloo, ON",Condo,389000,N/A,N/A,2,1
"55 DUKE Street W Unit# 216, Kitchener, ON",Condo,459900,726,2994,2,1
"290 WOODRIDGE DRIVE, Wilmot, ON",Single Family,1950000,N/A,N/A,5,5
"35 INGOLD AVENUE, Wilmot, ON",Single Family,1499000,N/A,7349 (2024),4,3
"120 MANSION Street Unit# 209, Kitchener, ON",Condo,349900,488,2558,0,1
"27 YARWOOD Place, Kitchener, ON",Single Family,865000,1479,N/A,3,4
"145 COLUMBIA Street W Unit# 810, Waterloo, ON",Condo,539900,630,5571,2,1
"705 SUNDEW DRIVE, Waterloo, ON",Single Family,1490000,N/A,N/A,6,5
"297 BROADACRE DRIVE, Kitchener, ON",Single Family,1279000,N/A,N/A,5,5
"42 GLORIA Street, Kitchener, ON",Single Family,1049800,2140,5778,4,3
"55 WAGON Street, Kitchener, ON",Single Family,1699999,4135,N/A,6,4
"107 WESTRA Drive Unit# 70, Guelph, ON",Condo/Townhome,619999,1592,3980,2,2
"73 MILTON Street, New Hamburg, ON",Single Family,949000,2207,N/A,5,3
"467 YORK Road, Guelph, ON",Single Family,747500,3211,N/A,5,3
"106 - 253 ALBERT STREET W, Waterloo, ON",Condo,510000,N/A,N/A,2,2
"54 - 271 GREY SILO ROAD, Waterloo, ON",Condo,809900,N/A,5491,4,4
"43 WINDOM Road, Kitchener, ON",Single Family,875000,1574,N/A,3,2
"251 LESTER Street Unit# 206, Waterloo, ON",Condo,609000,1238,N/A,5,2
"32 EDINBURGH Road S, Guelph, ON",Single Family,799900,1897,N/A,5,2
"25 LIDSTONE STREET, Cambridge, ON",Single Family,949000,N/A,N/A,5,4
"223 ERB Street W Unit# 602, Waterloo, ON",Condo,740000,1444,N/A,2,2
"173 CLAIR Road W, Guelph, ON",Single Family,1099999,N/A,5500,3,4
"431 NORTHLAKE Drive, Waterloo, ON",Single Family,999000,1836,5497,3,2
"61 QUEEN Street W, Cambridge, ON",Single Family,569900,2517,N/A,4,3
"20 ISHERWOOD Avenue Unit# 144, Cambridge, ON",Condo,764900,2310,N/A,3,2
"99 SOUTH PARKWOOD Boulevard, Elmira, ON",Single Family,969900,2025,N/A,4,3
"103 SOUTH PARKWOOD Boulevard, Elmira, ON",Single Family,949900,2130,N/A,3,3
"398 SIENNA Crescent, Kitchener, ON",Single Family,829999,2085,N/A,3,2
"42 BRIDGEPORT Road E Unit# 307, Waterloo, ON",Condo,450000,690,N/A,2,1
"7 FIRELLA Place, Wellesley, ON",Single Family,1239900,3400,N/A,4,3
"PT LT H SHELLARD ROAD, Cambridge, ON",Vacant Land,1195000,N/A,2923 (2024),N/A,0
"32 HOLLY TRAIL, Puslinch, ON",Single Family,699900,N/A,3289 (2024),3,1
"55 DUKE Street Unit# 322, Waterloo, ON",Condo,469000,647,N/A,2,1
"47 HAGAN AVENUE, Guelph (Grange Hill East), ON",Single Family,879900,N/A,5226 (2024),3,4
"690 KING Street W Unit# 313, Kitchener, ON",Condo,550000,1066,N/A,2,2
"88 GARLAND AVENUE, Cambridge, ON",Single Family,1349000,N/A,N/A,4,4
"547 LINDEN DRIVE, Cambridge, ON",Single Family,999000,N/A,N/A,6,5
"116 EVA DRIVE, Woolwich, ON",Single Family,1399000,N/A,N/A,4,4
"271 GREY SILO Road Unit# 11, Waterloo, ON",Condo,899888,2387,N/A,3,3
"112 FRESHMEADOW Way, Guelph, ON",Single Family,799900,1087,N/A,3,2
"59 JOHN BRABSON Crescent, Guelph, ON",Single Family,939000,1760,5688,4,3
"90 - 283 FAIRWAY ROAD N, Kitchener, ON",Condo,349000,N/A,N/A,2,1
"20 STANLEY Avenue, Kitchener, ON",MultiFamily,1099000,2592,N/A,5,4
"20 STANLEY Avenue, Kitchener, ON",Single Family,1099000,2592,N/A,5,3
"97 OLD CHICOPEE DRIVE, Kitchener, ON",Single Family,1149900,N/A,N/A,7,4
"42 RICH AVENUE, Cambridge, ON",Single Family,350000,N/A,3125,3,2
"52 MONARCH WOODS Drive, Kitchener, ON",Single Family,949000,1654,N/A,3,3
"543 GLEN FORREST BOULEVARD, Waterloo, ON",Single Family,799000,N/A,N/A,7,3
"280 CHOKECHERRY Crescent, Waterloo, ON",Single Family,1200000,2456,6719,3,3
"517 PEACH BLOSSOM Court, Kitchener, ON",Single Family,1199900,3271,N/A,4,4
"1811 - 145 COLUMBIA STREET, Waterloo, ON",Condo,509000,N/A,N/A,2,1
"7 LIMERICK Drive, Kitchener, ON",Single Family,949900,1875,3700,5,3
"27 DOMINIQUE Street, Kitchener, ON",Single Family,1195900,2674,N/A,4,4
"168 BENNINGER Drive, Kitchener, ON",Single Family,1177900,2444,N/A,4,3
"22 GARIBALDI Street, Guelph, ON",Single Family,794900,1277,N/A,3,2
"157 AHRENS Street W, Kitchener, ON",MultiFamily,2699900,7560,N/A,12,12
"505 OAKVALE Drive Unit# 1, Waterloo, ON",Single Family,775000,1911,3537,4,4
"7 CARINA STREET E, Kitchener, ON",Single Family,1199000,N/A,N/A,4,3
"51 CROMBIE Street, Cambridge, ON",Single Family,698800,N/A,3180,4,1
"11 SHADYWOOD Court, Wellesley, ON",Single Family,1025000,4211,N/A,4,3
"19 SILVERSMITH Court, Guelph, ON",Single Family,1130000,2449,6018,4,3
"51B - 85 MULLIN DRIVE, Guelph (Brant), ON",Condo,589900,N/A,N/A,2,2
"26B - 85 MULLIN DRIVE, Guelph (Brant), ON",Condo,599900,N/A,N/A,2,2
"199 AHRENS Street W, Kitchener, ON",MultiFamily,3795000,11309,35172,29,18
"303 STONYBROOK Drive, Kitchener, ON",Single Family,699900,2733,N/A,5,2
"177 HIGHLAND Road W, Kitchener, ON",Single Family,599000,992,3042,2,2
"39 FULLER DRIVE, Guelph (Grange Hill East), ON",Single Family,789000,N/A,4388,3,2
"900 NATHALIE Court Unit# Lot 15, Kitchener, ON",Single Family,1349900,2923,N/A,4,4
"181 KING Street S Unit# 606, Waterloo, ON",Condo,444000,731,N/A,1,1
"150 SHADED CREEK Drive Unit# Lot 0029, Kitchener, ON",Single Family,979900,2003,N/A,4,3
"182 HOLLYRIDGE CRESCENT, Kitchener, ON",Single Family,849999,N/A,N/A,3,3
"20 CURZON CRESCENT, Guelph (West Willow Woods), ON",Single Family,789000,N/A,4031 (2024),3,2
"536 BECKVIEW CRESCENT, Kitchener, ON",Single Family,1195000,N/A,N/A,5,4
"22 BLACK MAPLE CRESCENT, Kitchener, ON",Single Family,1799999,N/A,N/A,4,3
"226 SHADE Street, New Hamburg, ON",Single Family,3150000,N/A,12264,6,6
"840-846 KING Street E, Cambridge, ON",MultiFamily,1695000,5817,N/A,6,0
"24 LYON Avenue, Guelph, ON",Single Family,1499900,2129,4547,3,3
"1275 VILLAGE ROAD, North Dumfries, ON",Single Family,1450000,N/A,7211 (2024),5,4
"25 MANOR PARK Crescent Unit# 7, Guelph, ON",Single Family,1399999,2563,N/A,3,4
"340 FALLING GREEN CRESCENT, Kitchener, ON",Single Family,1275000,N/A,N/A,5,4
"17 - 32 ARKELL ROAD, Guelph (Guelph South), ON",Condo,689999,N/A,N/A,2,2
"17 LIBERTY Drive, Cambridge, ON",Single Family,949900,2826,N/A,4,3
"7 RICHMOND Avenue, Kitchener, ON",Single Family,895000,2437,4621,4,2
"102 - 253 LESTER STREET, Waterloo, ON",Condo,599999,N/A,N/A,5,2
"1880 GORDON Street Unit# 508, Guelph, ON",Condo,587500,854,N/A,2,1
"111 GRANDVIEW Drive, Conestogo, ON",Single Family,1995000,N/A,N/A,4,4
